# HEADER: Prodid    : IDQ65448                                                                                                                                                                                                                                                                                                                                                                                  
# HEADER: Prodname  : Hourly River Height Bulletin in CSV Format                                                                                                                                                                                                                                                                                                                                                
# HEADER: Generated : 03-10-2019 14:30:09                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Notes     : Data from automatic stations have not been checked and may have errors.                                                                                                                                                                                                                                                                                                                   
# HEADER:             All heights are in metres.                                                                                                                                                                                                                                                                                                                                                                
# HEADER:             This product includes data made available to the Bureau by other agencies                                                                                                                                                                                                                                                                                                                 
# HEADER:             Separate approval may be required to use the data for other purposes.                                                                                                                                                                                                                                                                                                                     
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
# HEADER: Format    : stn_num,sensor_num,name,obs_time,hgt,datum,class,tendency,xinghgt,xingname,xingtype,long,lat                                                                                                                                                                                                                                                                                              
# HEADER:                                                                                                                                                                                                                                                                                                                                                                                                       
     44197,         0,BRIARIE CREEK TM              ,03-10-2019 12:00:00,      .225,L,Below Minor,Steady        ,        2.4,Woolerbilla-Hebel Road		                ,X,  147.6917,  -28.9083                                                                                                                                                                                                                   
     44229,         0,CHARLEVILLE AL                ,03-10-2019 13:10:26,      1.12,L,Below Minor,Falling       ,        4.4,                                        ,O,  146.2378,  -26.4025                                                                                                                                                                                                                   
     44230,         0,BINNOWEE AL                   ,03-10-2019 13:06:36,       .33,L,Below Minor,Steady        ,        6.2,New Ward River Bridge                   ,A,  146.0861,  -26.4842                                                                                                                                                                                                                   
     44232,         0,THE 27 MILE GARDEN AL         ,03-10-2019 12:18:47,      -.44,L,Below Minor,Steady        ,        4.3,                                        ,B,  146.4172,  -26.0808                                                                                                                                                                                                                   
     44233,         0,BAKERS BEND AL                ,03-10-2019 11:16:36,       .21,L,Below Minor,Falling       ,           ,                                        , ,  146.1089,  -26.7053                                                                                                                                                                                                                   
     52068,         0,MUNGINDI (BARWON R)           ,03-10-2019 14:00:00,     2.328,L,Below Minor,Steady        ,           ,Barwon River Bridge			                  , ,  148.9833,  -28.9683                                                                                                                                                                                                                   
     53101,         0,BOGGABILLA (MACINTYRE R)      ,03-10-2019 14:00:00,      .192,L,Below Minor,Steady        ,           ,					                                   , ,   150.365,  -28.6083                                                                                                                                                                                                                   
     53109,         0,TERREWAH                      ,03-10-2019 14:00:00,      .704,L,Below Minor,Steady        ,           ,					                                   , ,  149.8742,  -28.6089                                                                                                                                                                                                                   
     54145,         0,ASHFORD (SEVERN R)            ,03-10-2019 14:00:00,      .179,L,Below Minor,Steady        ,           ,					                                   , ,  151.1167,     -29.3                                                                                                                                                                                                                   
     56158,         0,ROSENEATH                     ,03-10-2019 13:00:00,       .95,L,Below Minor,Steady        ,           ,					                                   , ,    151.45,  -29.1333                                                                                                                                                                                                                   
    528003,         0,TRIMBLES CROSSING TM          ,03-10-2019 08:00:00,      .546,L,Unknown    ,Steady        ,        1.2,                                        ,C,  143.7828,  -16.5469                                                                                                                                                                                                                   
    528004,         0,LAURA RIVER TM                ,03-10-2019 13:00:00,     1.775,L,Unknown    ,Steady        ,        3.5,North Laura Crossing                    ,B,  144.4844,  -15.6133                                                                                                                                                                                                                   
    528005,         0,KALPOWAR CROSSING TM          ,03-10-2019 13:00:00,     1.529,L,Unknown    ,Steady        ,        1.9,Kalpower Crossing			                    ,C,    144.21,  -14.9186                                                                                                                                                                                                                   
    528009,         0,ROOKWOOD TM                   ,03-10-2019 13:00:00,     1.444,L,Unknown    ,Steady        ,        3.4,Fergusons Crossing                      ,C,  144.2861,  -16.9822                                                                                                                                                                                                                   
    529006,         0,JULIA CREEK TM                ,03-10-2019 13:00:00,      .097,L,Below Minor,Steady        ,           ,					                                   , ,  141.7667,  -20.6667                                                                                                                                                                                                                   
    529007,         0,WALKERS BEND TM               ,03-10-2019 13:00:00,      .189,L,Below Minor,Steady        ,        5.4,Flinders River Bridge		                 ,B,    140.85,  -18.1667                                                                                                                                                                                                                   
    529008,         0,THE 16M WATERHOLE TM          ,03-10-2019 13:00:00,      .193,L,Below Minor,Steady        ,           ,					                                   , ,  139.3586,  -18.8778                                                                                                                                                                                                                   
    529009,         0,GREGORY DOWNS TM              ,03-10-2019 13:00:01,      .628,L,Below Minor,Steady        ,        9.3,New Gregory Road Bridge		               ,B,  139.2525,  -18.6422                                                                                                                                                                                                                   
    529010,         0,FLORAVILLE TM                 ,03-10-2019 13:00:00,      .671,L,Below Minor,Steady        ,        1.5,Leichhardt River Causeway		             ,C,  139.8783,  -18.2372                                                                                                                                                                                                                   
    529011,         0,CLONCURRY TM                  ,03-10-2019 13:00:01,      .094,L,Below Minor,Steady        ,       10.5,Ernest Henry Bridge		                   ,B,    140.49,  -20.7039                                                                                                                                                                                                                   
    529012,         0,GLENORE WEIR TM               ,03-10-2019 13:00:00,     6.087,L,Below Minor,Steady        ,        9.6,Norman River Bridge			                  ,B,  141.1286,    -17.86                                                                                                                                                                                                                   
    529013,         0,GUNPOWDER TM                  ,03-10-2019 13:00:00,      .151,L,Below Minor,Steady        ,           ,					                                   , ,  139.3572,  -19.6903                                                                                                                                                                                                                   
    529014,         0,DOUGHBOY CK TM                ,03-10-2019 13:00:00,      .138,L,Below Minor,Steady        ,           ,					                                   , ,  139.7411,  -20.3133                                                                                                                                                                                                                   
    529019,         0,JULIUS DAM TM                 ,03-10-2019 14:00:00,     -1.42,L,Unknown    ,Steady        ,          0,Heights above Spillway		                ,S,  139.7231,  -20.1322                                                                                                                                                                                                                   
    529024,         0,DUNBAR TM                     ,03-10-2019 13:00:00,     1.598,L,Unknown    ,Steady        ,        1.2,Mitchell River Crossing                 ,C,  142.3772,  -15.9508                                                                                                                                                                                                                   
    529040,         0,BURKETOWN TIDE TM             ,03-10-2019 14:03:00,     1.391,L,Unknown    ,Steady        ,           ,                                        , ,  139.5928,  -17.7333                                                                                                                                                                                                                   
    529048,         0,LOWER WALKER CK TM            ,03-10-2019 12:00:00,      .117,L,Below Minor,Steady        ,        6.4,                                        ,B,  141.1789,  -17.4725                                                                                                                                                                                                                   
    529053,         0,BURKE DEV RD TM               ,03-10-2019 13:00:00,     1.225,L,Unknown    ,Steady        ,        4.5,Gilbert River bridge.                   ,B,  141.7675,  -17.1683                                                                                                                                                                                                                   
    530003,         0,PENTLAND TM                   ,03-10-2019 13:00:00,     1.066,L,Below Minor,Steady        ,           ,					                                   , ,  145.4667,  -20.4833                                                                                                                                                                                                                   
    530007,         0,EINASLEIGH TM                 ,03-10-2019 13:00:00,     1.257,L,Below Minor,Steady        ,           ,					                                   , ,  144.0958,  -18.5003                                                                                                                                                                                                                   
    530009,         0,RICHMOND TM                   ,03-10-2019 13:00:00,      .511,L,Below Minor,Steady        ,        6.4,Flinders R.(Richmond-Croydon Rd)	       ,B,  143.1333,     -20.7                                                                                                                                                                                                                   
    530010,         0,ROSEGLEN TM                   ,03-10-2019 13:00:00,     1.189,L,Below Minor,Steady        ,           ,                                        , ,  143.5789,  -18.3067                                                                                                                                                                                                                   
    530031,         0,WHITES MOUNTAIN TM            ,03-10-2019 13:00:00,      .001,L,Unknown    ,Steady        ,           ,                                        , ,  144.6619,  -20.5467                                                                                                                                                                                                                   
    530163,         0,HULBERTS BRIDGE TM            ,03-10-2019 13:00:00,      .003,L,Below Minor,Steady        ,        3.9,Hulberts Bridge                         ,B,  142.6281,  -20.6419                                                                                                                                                                                                                   
    530164,         0,MARATHON TM                   ,03-10-2019 13:00:00,         0,L,Below Minor,Steady        ,           ,                                        , ,  143.5769,  -20.8175                                                                                                                                                                                                                   
    531015,         0,SILVER VALLEY TM              ,03-10-2019 13:00:00,     1.006,L,Below Minor,Steady        ,           ,					                                   , ,     145.3,  -17.6333                                                                                                                                                                                                                   
    531019,         0,BILWON TM                     ,03-10-2019 13:00:00,     1.663,L,Below Minor,Steady        ,           ,					                                   , ,  145.4417,  -16.8436                                                                                                                                                                                                                   
    531021,         0,ARCHERS CREEK TM              ,03-10-2019 13:00:00,     1.316,L,Below Minor,Steady        ,           ,					                                   , ,  145.3333,    -17.65                                                                                                                                                                                                                   
    531022,         0,THE BOULDERS TM               ,03-10-2019 13:00:00,      .774,L,Below Minor,Steady        ,           ,					                                   , ,  145.8725,  -17.3489                                                                                                                                                                                                                   
    531023,         0,PEETS BRIDGE TM               ,03-10-2019 13:00:00,     1.789,L,Below Minor,Steady        ,          5,Peets Bridge 			                        ,B,  145.7625,  -17.1331                                                                                                                                                                                                                   
    531024,         0,BUCKLANDS TM                  ,03-10-2019 13:00:00,     1.151,L,Below Minor,Steady        ,           ,					                                   , ,  145.9667,  -17.3833                                                                                                                                                                                                                   
    531027,         0,FLAGGY CREEK TM               ,03-10-2019 13:00:00,       .82,L,Unknown    ,Steady        ,           ,                                        , ,  145.5292,  -16.7819                                                                                                                                                                                                                   
    531029,         0,BAIRDS TM                     ,03-10-2019 13:00:00,     2.446,L,Below Minor,Steady        ,           ,					                                   , ,  145.2808,  -16.1817                                                                                                                                                                                                                   
    531030,         0,TINAROO DAM T/W TM            ,03-10-2019 14:00:00,     1.415,L,Below Minor,Steady        ,           ,					                                   , ,  145.5417,  -17.1658                                                                                                                                                                                                                   
    531033,         0,MAREEBA ALERT                 ,03-10-2019 13:57:15,       1.7,L,Below Minor,Falling       ,        4.8,Barron River Bridge			                  ,B,  145.4292,  -17.0022                                                                                                                                                                                                                   
    531034,         0,TINAROO DAM ALERT             ,03-10-2019 13:03:02,      -.77,L,Below Minor,Steady        ,          0,Spillway Level                          ,S,  145.5464,  -17.1642                                                                                                                                                                                                                   
    531036,         0,BILWON ALERT                  ,03-10-2019 14:08:30,      1.71,L,Below Minor,Steady        ,           ,					                                   , ,  145.4433,  -16.8419                                                                                                                                                                                                                   
    531037,         0,BOLTON ROAD ALERT             ,03-10-2019 13:50:20,       .27,L,Below Minor,Steady        ,        1.5,Clohesy River Bridge 		                 ,B,  145.5458,  -16.8911                                                                                                                                                                                                                   
    531039,         0,FLAGGY CREEK ALERT            ,03-10-2019 12:14:16,       .79,L,Unknown    ,Steady        ,           ,                                        , ,  145.5303,  -16.7803                                                                                                                                                                                                                   
    531040,         0,MYOLA ALERT                   ,03-10-2019 14:07:22,       .71,L,Below Minor,Steady        ,          5,Russett Park Bridge			                  ,B,  145.6119,     -16.8                                                                                                                                                                                                                   
    531041,         0,LAKE PLACID ALERT             ,03-10-2019 13:34:32,      6.09,L,Below Minor,Falling       ,           ,					                                   , ,  145.6731,  -16.8683                                                                                                                                                                                                                   
    531046,         0,THE FISHERIES TM              ,03-10-2019 13:00:00,      .817,L,Below Minor,Steady        ,        1.9,					                                   ,B,  145.7239,  -17.1853                                                                                                                                                                                                                   
    531048,         0,KAMERUNGA BR ALERT            ,03-10-2019 13:54:17,      1.34,L,Below Minor,Steady        ,       11.3,Kamerunga Bridge			                     ,B,  145.6856,  -16.8747                                                                                                                                                                                                                   
    531049,         0,CAIRNS AIRPORT ALERT          ,03-10-2019 14:13:09,       .53,L,Below Minor,Falling       ,           , 				                                   , ,  145.7419,  -16.8622                                                                                                                                                                                                                   
    531051,         0,GORDONVALE ALERT              ,03-10-2019 11:38:45,      6.95,L,Below Minor,Steady        ,         14,Old Bruce Highway Bridge		              ,O,  145.7894,  -17.1011                                                                                                                                                                                                                   
    531052,         0,PEETS BRIDGE ALERT            ,03-10-2019 14:27:15,       1.7,L,Below Minor,Steady        ,          5,Peets Bridge 			                        ,B,  145.7644,  -17.1336                                                                                                                                                                                                                   
    531057,         0,BOLINDA ESTATE ALERT          ,03-10-2019 12:29:00,      1.75,L,Below Minor,Falling       ,           ,					                                   , ,  145.7053,  -17.8311                                                                                                                                                                                                                   
    531076,         0,THE FISHERIES ALERT           ,03-10-2019 13:33:43,        .8,L,Below Minor,Steady        ,        1.9,					                                   ,B,  145.7239,  -17.1853                                                                                                                                                                                                                   
    531083,         0,MCLEOD RIVER TM               ,03-10-2019 13:00:00,     1.319,L,Unknown    ,Steady        ,        4.5,Mulligan Highway Bridge		               ,A,  145.0017,  -16.4978                                                                                                                                                                                                                   
    531110,         0,DAINTREE VILLAGE TM           ,03-10-2019 13:08:01,       1.8,L,Below Minor,Rising        ,           ,                                        , ,  145.3172,  -16.2497                                                                                                                                                                                                                   
    532006,         0,ABERGOWRIE TM                 ,03-10-2019 13:00:00,     1.195,L,Below Minor,Steady        ,           ,					                                   , ,  145.9364,  -18.4889                                                                                                                                                                                                                   
    532007,         0,BLUEWATER TM                  ,03-10-2019 13:00:00,       .67,L,Below Minor,Steady        ,           ,					                                   , ,  146.5483,  -19.1825                                                                                                                                                                                                                   
    532009,         0,SWEENEY CREEK U/S ALERT       ,03-10-2019 13:44:15,       .78,L,Below Minor,Falling       ,           ,					                                   , ,  146.0242,  -17.5261                                                                                                                                                                                                                   
    532010,         0,GOWRIE CREEK TM               ,03-10-2019 13:00:00,      .836,L,Below Minor,Steady        ,           ,					                                   , ,    145.85,    -18.45                                                                                                                                                                                                                   
    532011,         0,RUNNING CREEK TM              ,03-10-2019 12:00:00,     1.316,L,Below Minor,Steady        ,           ,					                                   , ,    145.95,  -18.7667                                                                                                                                                                                                                   
    532012,         0,INGHAM PUMP STATION TM        ,03-10-2019 13:00:00,      .841,L,Below Minor,Steady        ,           ,					                                   , ,  146.1444,  -18.6347                                                                                                                                                                                                                   
    532013,         0,SWEENEY CREEK D/S ALERT       ,03-10-2019 14:01:14,      .646,L,Below Minor,Steady        ,           ,					                                   , ,  146.0242,  -17.5261                                                                                                                                                                                                                   
    532014,         0,SALTWATER CREEK ALERT         ,03-10-2019 13:36:16,      .663,L,Below Minor,Falling       ,           ,					                                   , ,  146.0322,  -17.5122                                                                                                                                                                                                                   
    532015,         0,BOHLE RIVER TM                ,03-10-2019 13:00:00,     1.654,L,Below Minor,Steady        ,           ,					                                   , ,     146.7,  -19.3167                                                                                                                                                                                                                   
    532016,         0,MT FULLSTOP TM                ,03-10-2019 13:00:00,     2.003,L,Below Minor,Steady        ,           ,					                                   , ,  145.4942,  -19.2078                                                                                                                                                                                                                   
    532017,         0,BLUE RANGE TM                 ,03-10-2019 13:00:00,      .464,L,Below Minor,Steady        ,        3.2,Burdekin River Bridge			                ,B,    145.42,  -19.1667                                                                                                                                                                                                                   
    532020,         0,ROSS RIVER DAM ALERT          ,03-10-2019 14:13:26,     37.59,L,Unknown    ,Steady        ,       38.6,                                        ,F,  146.7372,    -19.41                                                                                                                                                                                                                   
    532023,         0,MCAVOY BRIDGE ALERT           ,03-10-2019 14:03:04,      .703,L,Below Minor,Falling       ,        7.1,McAvoy Bridge (Bruce Highway)	          ,B,  145.9928,  -17.5047                                                                                                                                                                                                                   
    532025,         0,MOURILYAN MILL ALERT          ,03-10-2019 14:22:45,      3.72,L,Below Minor,Steady        ,           ,					                                   , ,  146.0297,  -17.5806                                                                                                                                                                                                                   
    532027,         0,GAIRLOCH ALERT                ,03-10-2019 11:42:20,       .49,L,Below Minor,Steady        ,        4.1,Herbert R bridge			                     ,B,  146.1836,  -18.6178                                                                                                                                                                                                                   
    532028,         0,ABERGOWRIE BRIDGE ALERT       ,03-10-2019 14:08:12,      .712,L,Below Minor,Steady        ,       10.1,Abergowrie Bridge			                    ,B,  146.0006,  -18.5144                                                                                                                                                                                                                   
    532029,         0,APLIN WEIR ALERT              ,03-10-2019 14:19:56,      -.29,L,Below Minor,Steady        ,          0,                                        ,W,  146.7803,  -19.3039                                                                                                                                                                                                                   
    532030,         0,BLACK WEIR (RIVERWAY) AL      ,03-10-2019 14:04:19,       -.2,L,Below Minor,Steady        ,          0,					                                   ,W,   146.735,  -19.3164                                                                                                                                                                                                                   
    532032,         0,LOUISA CREEK ALERT            ,03-10-2019 06:55:39,      3.23,L,Below Minor,Steady        ,        6.4,Bayswater Rd bridge. 		                 ,B,  146.7544,  -19.2722                                                                                                                                                                                                                   
    532033,         0,TOWNSVILLE TIDE ALERT         ,03-10-2019 14:29:25,      2.45,L,Unknown    ,Falling       ,           ,                                        , ,  146.8303,  -19.2517                                                                                                                                                                                                                   
    532037,         0,MYSTERTON ALERT               ,03-10-2019 10:32:42,      2.22,L,Below Minor,Steady        ,        3.8,Townsend St				                         ,B,  146.7967,   -19.285                                                                                                                                                                                                                   
    532043,         0,BOHLE RIVER ALERT             ,03-10-2019 13:29:24,      1.75,L,Below Minor,Falling       ,           ,					                                   , ,  146.7028,  -19.3181                                                                                                                                                                                                                   
    532044,         0,LITTLE BOHLE RIVER ALERT      ,03-10-2019 13:41:20,      -.76,L,Below Minor,Steady        ,           ,					                                   , ,  146.6767,  -19.3258                                                                                                                                                                                                                   
    532046,         0,BLACK RIVER ALERT             ,03-10-2019 12:56:31,       .49,L,Below Minor,Steady        ,           ,					                                   , ,  146.6328,  -19.2375                                                                                                                                                                                                                   
    532048,         0,BLUEWATER ALERT               ,03-10-2019 14:29:44,       .73,L,Below Minor,Steady        ,           ,					                                   , ,  146.5469,  -19.1833                                                                                                                                                                                                                   
    532051,         0,ALLIGATOR CREEK TM            ,03-10-2019 13:00:00,      .381,L,Below Minor,Steady        ,           ,					                                   , ,  146.9558,  -19.3861                                                                                                                                                                                                                   
    532055,         0,BLACK RIVER TM                ,03-10-2019 13:00:00,      .526,L,Below Minor,Steady        ,           ,					                                   , ,  146.6297,  -19.2367                                                                                                                                                                                                                   
    532059,         0,EURAMO ALERT                  ,03-10-2019 13:01:05,      1.68,L,Below Minor,Steady        ,        8.7,Bruce Highway Bridge(new)		             ,A,  145.9425,  -17.9922                                                                                                                                                                                                                   
    532060,         0,MURRAY FLATS ALERT            ,03-10-2019 12:05:04,       2.5,L,Below Minor,Steady        ,        8.5,Bruce Highway Bridge(new)		             ,A,  145.9242,  -18.0297                                                                                                                                                                                                                   
    532061,         0,UPPER MURRAY ALERT            ,03-10-2019 11:53:52,      2.21,L,Below Minor,Steady        ,           ,					                                   , ,  145.8053,  -18.1069                                                                                                                                                                                                                   
    532066,         0,GLENEAGLE TM                  ,03-10-2019 13:00:00,       .99,L,Below Minor,Steady        ,           ,					                                   , ,  145.3325,  -18.1919                                                                                                                                                                                                                   
    532067,         0,TREBONNE AL                   ,03-10-2019 12:47:25,      1.12,L,Below Minor,Steady        ,           ,					                                   , ,  146.0842,  -18.6181                                                                                                                                                                                                                   
    532089,         0,DALRYMPLE ROAD ALERT          ,03-10-2019 12:06:49,      4.69,L,Unknown    ,Steady        ,        8.9,Dalrymple Rd.                           ,B,  146.7108,  -19.2919                                                                                                                                                                                                                   
    533011,         0,SELLHEIM TM                   ,03-10-2019 13:00:00,     -.453,L,Below Minor,Steady        ,       13.5,Macrossan Bridge (Flinders Highway)     ,B,  146.4392,  -20.0061                                                                                                                                                                                                                   
    533013,         0,REEVES TM                     ,03-10-2019 13:00:00,      .824,L,Below Minor,Steady        ,           ,					                                   , ,  148.1539,  -20.1508                                                                                                                                                                                                                   
    533015,         0,JACKS CREEK ALERT             ,03-10-2019 12:01:51,      1.16,L,Below Minor,Steady        ,           ,					                                   , ,  147.8819,  -20.7525                                                                                                                                                                                                                   
    533016,         0,MAJOR CREEK TM                ,03-10-2019 13:00:00,     1.591,L,Below Minor,Steady        ,           ,					                                   , ,   147.025,  -19.6689                                                                                                                                                                                                                   
    533019,         0,PETER FAUST DAM HW TM         ,03-10-2019 14:00:10,    -2.975,L,Below Minor,Steady        ,          0,Heights over Spillway		                 ,S,  148.3833,  -20.3667                                                                                                                                                                                                                   
    533024,         0,MYUNA TM                      ,03-10-2019 13:00:00,      .572,L,Below Minor,Steady        ,           ,					                                   , ,  147.5981,  -20.5819                                                                                                                                                                                                                   
    533026,         0,WHITEFORD'S TM                ,03-10-2019 12:00:00,      .684,L,Below Minor,Steady        ,           ,					                                   , ,  148.8342,  -21.3219                                                                                                                                                                                                                   
    533027,         0,MT PICCANINNY TM              ,03-10-2019 13:00:00,     -.293,L,Below Minor,Steady        ,           ,					                                   , ,  146.9597,  -19.7733                                                                                                                                                                                                                   
    533028,         0,IDA CREEK TM                  ,03-10-2019 12:00:00,      .296,L,Below Minor,Steady        ,           ,					                                   , ,  148.1169,  -20.2911                                                                                                                                                                                                                   
    533029,         0,WATTLEBANK TM                 ,03-10-2019 14:00:00,     1.861,L,Below Minor,Steady        ,           ,					                                   , ,  150.1372,  -23.1042                                                                                                                                                                                                                   
    533030,         0,BRAESIDE TM                   ,03-10-2019 13:00:00,     -.183,L,Below Minor,Steady        ,           ,					                                   , ,  148.7858,  -21.7697                                                                                                                                                                                                                   
    533041,         0,TEEMBURRA DAM ALERT           ,03-10-2019 12:38:15,     -1.36,L,Unknown    ,Steady        ,          0,Teemburra Dam Spillway		                ,S,   148.665,  -21.2175                                                                                                                                                                                                                   
    533049,         0,GROPER CREEK ALERT            ,03-10-2019 14:20:05,       .84,L,Below Minor,Falling       ,           ,					                                   , ,  147.5317,  -19.6917                                                                                                                                                                                                                   
    533055,         0,MT PICCANINNY ALERT           ,03-10-2019 11:35:56,      -.47,L,Below Minor,Steady        ,           ,					                                   , ,  146.9597,  -19.7733                                                                                                                                                                                                                   
    533057,         0,RITA ISLAND ALERT             ,03-10-2019 12:09:37,     -3.45,L,Below Minor,Steady        ,          0,Rita Island Bridge			                   ,B,  147.4817,  -19.6294                                                                                                                                                                                                                   
    533059,         0,FINCH HATTON ALERT            ,03-10-2019 12:59:58,       .91,L,Below Minor,Falling       ,         10,Highams Bridge (Finch Hatton Gorge Road),B,  148.6492,  -21.1328                                                                                                                                                                                                                   
    533060,         0,HOSPITAL BRIDGE ALERT         ,03-10-2019 14:20:40,         5,L,Below Minor,Rising        ,        6.6,Old Hospital Bridge			                  ,O,  149.1544,  -21.1444                                                                                                                                                                                                                   
    533061,         0,GOOSEPONDS ALERT              ,03-10-2019 14:25:21,      4.27,L,Below Minor,Steady        ,        6.4,Willetts Road Bridge 		                 ,B,  149.1664,  -21.1253                                                                                                                                                                                                                   
    533063,         0,BAKERS CREEK ALERT            ,03-10-2019 14:28:41,      4.78,L,Below Minor,Rising        ,           ,					                                   , ,  149.1447,  -21.2139                                                                                                                                                                                                                   
    533064,         0,TEEMBURRA DAM HW TM           ,03-10-2019 14:00:00,   289.778,L,Unknown    ,Steady        ,          0,Spillway				                            ,S,  148.6636,  -21.2189                                                                                                                                                                                                                   
